product_id,product_category_name,total_orders,total_revenue,avg_price,avg_rating,review_count,revenue_rank
cc971e0365873137b8bef2ebad633e6f,cool_stuff,46,10709.54,232.82,4.39,46,65
4fe644d766c7566dbc46fb851363cb3b,artes,104,10603.83,100.99,3.78,104,66
42a2c92a0979a949ca4ea89ec5c7b934,utilidades_domesticas,154,10511.7,59.39,3.99,174,67
08574b074924071f4e201e151b152b4e,ferramentas_jardim,94,10434.3,94.86,4.1,109,68
3225c54bb2785c33f49f50398fcdb88c,relogios_presentes,37,10330.77,279.21,3.78,36,69
4c2394abfbac7ff59ec7a420918562fa,beleza_saude,117,10198.8,84.99,3.84,118,70
84f456958365164420cfc80fbe4c7fab,cama_mesa_banho,103,10036.16,92.93,3.34,105,71
53ea9da485f6aed8a6f03a85831fe021,relogios_presentes,39,10028.71,257.15,3.67,39,72
fe6a9515d655fa7936b8a7c841039f34,cool_stuff,37,10016.0,250.4,4.23,40,73
cac9e5692471a0700418aa3400b9b2b1,bebes,87,9876.86,112.24,4.22,87,74
d696750e550fd0f733979dd7e5dff921,utilidades_domesticas,52,9857.86,172.94,4.53,57,75
3fbc0ef745950c7932d5f2a446189725,beleza_saude,143,9797.51,65.76,3.93,144,76
2a2d22ae30e026f1893083c8405ca522,cama_mesa_banho,66,9680.7,142.36,4.26,68,77
78efe838c04bbc568be034082200ac20,moveis_decoracao,100,9646.2,95.51,4.38,101,78
0a57f7d2c983bcf8188589a5fea4a8da,relogios_presentes,84,9569.0,111.27,4.05,85,79
29427de7f8a9ee983d9dbc51cec569b4,cool_stuff,96,9527.66,99.25,4.28,95,80
db5efde3ad0cc579b130d71c4b2db522,audio,48,9425.78,196.37,3.79,47,81
25f86162fee18735fffdb762dcb10d7c,cama_mesa_banho,53,9353.9,153.34,4.21,61,82
e9a69340883a438c3f91739d14d3a56d,utilidades_domesticas,53,9326.61,166.55,4.07,56,83
a50acd33ba7a8da8e9db65094fa990a4,automotivo,78,9266.7,117.3,4.22,79,84
11250b0d4b709fee92441c5f34122aed,agro_industria_e_comercio,21,9111.0,414.14,4.73,22,85
2a5806f10d0f00e5ad032dd2e3c8806e,moveis_escritorio,51,9081.47,171.35,3.35,52,86
0bbdc963004d9b2fd3427ee3c5ae3608,esporte_lazer,26,9070.0,302.33,4.37,30,87
e59dd207c69d86e890febadc796d1078,cool_stuff,61,9043.37,145.86,3.73,62,88
5411e9269501a870cabf632f05655131,papelaria,74,9024.0,118.74,4.49,74,89
e44f675b60b3a3a2453ec36421e06f0f,esporte_lazer,77,8949.1,106.54,4.14,83,90
c6ea63369936552872ae890c82175b4b,cama_mesa_banho,42,8596.75,199.92,4.4,43,91
fbce4c4cb307679d89a3bf3d3bb353b9,cama_mesa_banho,57,8520.0,142.0,3.98,60,92
fc1d8637c0268af3db482c14b7ef8e75,cama_mesa_banho,54,8504.3,149.2,4.33,57,93
fe9dfbe7f974621789683b7b78be2a16,beleza_saude,26,8473.29,325.9,4.12,26,94
b114bf337c0626166abe574eee9e3f32,moveis_escritorio,30,8348.0,154.59,3.22,54,95
8317b177579dd27ff068b83205e2169b,cool_stuff,45,8314.16,180.74,4.3,46,96
952670bc019a73f0933157ec82ff6e4f,cama_mesa_banho,39,8292.83,202.26,4.05,40,97
8aa6223e400af9c97b07c75993142721,bebes,46,8265.66,175.87,4.15,47,98
657247f6f60543b93e3cc708a8e6329c,malas_acessorios,32,8237.68,257.43,3.91,32,99
629e019a6f298a83aeecc7877964f935,automotivo,72,8043.8,111.72,4.61,72,100
